Rank;Player;Nationality;Position;Team;Born;Minutes played;Goals;Shots;Shots on target;Penalty goals;Penalty attempts
1;Carlos Vicente;ESP;MF;Alavés;1999;1260;5;12;6;3;3
2;Nahuel Tenaglia;ARG;DF;Alavés;1996;2520;1;16;4;0;0
3;Denis Suárez;ESP;MF;Alavés;1994;1062;1;6;3;0;0
4;Antonio Sivera;ESP;GK;Alavés;1996;2700;0;0;0;0;0
5;Abde Rebbach;ALG;MF;Alavés;1998;909;1;28;9;0;0
6;Lander Pinillos;ESP;MF;Alavés;2003;0;0;0;0;0;0
7;Ángel Pérez;ESP;MF;Alavés;2002;585;1;6;3;0;0
8;Victor Parada;ESP;DF;Alavés;2002;1503;0;8;2;0;0
9;Jon Pacheco;ESP;DF;Alavés;2001;1728;0;4;1;0;0
10;Diego Morcillo;ESP;FW;Alavés;2003;9;0;1;0;0;0
11;Toni Martínez;ESP;FW;Alavés;1997;2034;8;71;25;0;0
12;Mariano;DOM;FW;Alavés;1993;288;0;6;3;0;0
13;Aitor Manas;ESP;FW;Alavés;2003;72;0;1;1;0;0
14;Youssef Lekhedim;ESP;DF,MF;Alavés;2005;1197;0;10;2;0;0
15;Ville Koski;FIN;DF;Alavés;2002;9;0;0;0;0;0
16;Pablo Ibánez;ESP;MF;Alavés;1998;1818;1;43;12;0;0
17;Jon Guridi;ESP;MF,FW;Alavés;1995;738;0;10;3;0;0
18;Ander Guevara;ESP;MF;Alavés;1997;567;1;4;1;0;0
19;Facundo Garcés;MAS;DF;Alavés;1999;792;0;8;4;0;0
20;Moussa Diarra;MLI;DF;Alavés;2000;216;0;0;0;0;0
21;Ibrahim Diabaté;CIV;FW;Alavés;1999;117;0;3;1;0;0
22;Jonny Castro;ESP;DF;Alavés;1994;2547;0;7;2;0;0
23;Calebe;BRA;MF;Alavés;2000;720;0;5;1;0;0
24;Lucas Boyé;ARG;FW;Alavés;1996;1764;10;55;19;3;3
25;Antonio Blanco;ESP;MF;Alavés;2000;2403;1;29;11;0;0
26;Carlos Benavídez;URU;DF;Alavés;1998;243;0;3;2;0;0
27;Carlos Ballestero;ESP;DF;Alavés;2004;0;0;0;0;0;0
28;Carles Alená;ESP;MF;Alavés;1998;1854;0;26;5;0;0
29;Nico Williams;ESP;MF;Athletic Club;2002;1350;4;37;13;1;2
30;Inaki Williams;GHA;MF,FW;Athletic Club;1994;1584;2;46;15;1;1
31;Daniel Vivian;ESP;DF;Athletic Club;1999;2187;1;14;5;0;0
32;Mikel Vesga;ESP;MF;Athletic Club;1993;414;0;2;0;0;0
33;Unai Simón;ESP;GK;Athletic Club;1997;2700;0;0;0;0;0
34;Nicolás Serrano;ESP;MF;Athletic Club;2003;333;1;13;2;0;0
35;Maroan Sannadi;MAR;FW;Athletic Club;2001;279;1;8;4;0;0
36;Selton Sánchez;ESP;MF;Athletic Club;2007;198;0;4;1;0;0
37;Oihan Sancet;ESP;MF;Athletic Club;2000;1557;3;42;14;2;2
38;Alejandro Rego;ESP;MF;Athletic Club;2003;837;1;10;3;0;0
39;Benat Prados;ESP;MF;Athletic Club;2001;81;0;1;0;0;0
40;Aitor Paredes;ESP;DF;Athletic Club;2000;1449;1;12;3;0;0
41;Roberto Navarro;ESP;MF;Athletic Club;2002;900;5;14;7;0;0
42;Inigo Lekue;ESP;DF;Athletic Club;1993;522;0;3;1;0;0
43;Aymeric Laporte;ESP;DF;Athletic Club;1994;1575;0;13;4;0;0
44;Mikel Jauregizar;ESP;MF;Athletic Club;2003;2331;2;31;8;0;0
45;Urko Izeta;ESP;FW;Athletic Club;1999;171;0;8;4;0;0
46;Asier Hierro;ESP;FW;Athletic Club;2005;36;0;1;0;0;0
47;Gorka Guruzeta;ESP;FW;Athletic Club;1996;1728;6;60;23;1;1
48;Andoni Gorosabel;ESP;DF;Athletic Club;1996;819;0;5;1;0;0
49;Unai Gómez;ESP;MF,FW;Athletic Club;2003;630;1;14;3;0;0
50;Eder García;ESP;FW;Athletic Club;2004;36;0;1;0;0;0
51;Inigo Ruiz de Galarreta;ESP;MF;Athletic Club;1993;1755;1;17;2;0;0
52;Adama Boiro;ESP;DF;Athletic Club;2002;594;0;1;0;0;0
53;Álex Berenguer;ESP;MF;Athletic Club;1995;1845;2;39;19;0;0
54;Yuri Berchiche;ESP;DF;Athletic Club;1990;2205;0;17;4;0;0
55;Jesús Areso;ESP;DF;Athletic Club;1999;1422;0;3;0;0;0
56;Yeray Álvarez;ESP;DF;Athletic Club;1995;63;0;0;0;0;0
57;Obed Vargas;MEX;MF;Atlético Madrid;2005;216;0;0;0;0;0
58;Alexander Sorloth;NOR;FW;Atlético Madrid;1995;1593;10;53;28;0;0
59;Giuliano Simeone;ARG;MF;Atlético Madrid;2002;1908;4;34;13;0;0
60;Taufik Seidu;ESP;MF;Atlético Madrid;2008;27;0;0;0;0;0
61;Matteo Ruggeri;ITA;DF;Atlético Madrid;2002;1368;0;4;2;0;0
62;Giacomo Raspadori;ITA;FW;Atlético Madrid;2000;234;0;7;3;0;0
63;Marc Pubill;ESP;DF;Atlético Madrid;2003;837;0;6;2;0;0
64;Jan Oblak;SVN;GK;Atlético Madrid;1993;2340;0;0;0;0;0
65;Juan Musso;ARG;GK;Atlético Madrid;1994;360;0;0;0;0;0
66;Javi Morcillo;ESP;MF;Atlético Madrid;2006;27;0;0;0;0;0
67;Jano Monserrate;ESP;MF;Atlético Madrid;2006;18;0;0;0;0;0
68;Nahuel Molina;ARG;DF;Atlético Madrid;1998;1134;2;11;3;0;0
69;Rodrigo Mendoza;ESP;MF;Atlético Madrid;2005;216;0;3;0;0;0
70;José María Giménez;URU;DF;Atlético Madrid;1995;1161;0;13;3;0;0
71;Ademola Lookman;NGA;FW,MF;Atlético Madrid;1997;333;2;13;3;0;0
72;Marcos Llorente;ESP;DF;Atlético Madrid;1995;1863;0;16;6;0;0
73;Clément Lenglet;FRA;DF;Atlético Madrid;1995;990;0;3;0;0;0
74;Robin Le Normand;ESP;DF;Atlético Madrid;1996;1422;1;3;1;0;0
75;Koke;ESP;MF;Atlético Madrid;1992;1773;2;11;4;0;0
